year,artist,album name,album art,credits,link
2025,Penny & Sparrow,Pancho,pancho.jpg,"E, M",https://open.spotify.com/album/6XzwC3drvhCqH2MumYmhFC?si=QXAs55-dSg2CA98JRHrW-w
2025,Penny & Sparrow,Lefty,lefty.jpg,"E, PE",https://open.spotify.com/album/0FMTkGSfXaHiIh6rThhij1?si=5yRxesEXQ1eXkK_kutzxUA
2024,mihtmo,Touch Grass,touch-grass.jpg,"P, E, M, C, PE",https://open.spotify.com/album/2Vgx5HAq9zIERCfLnURDjb?si=meG6vOt5QDWWAsjouAGsXg 
2022,Penny & Sparrow,Olly Olly,olly-olly.jpg,"E, PE",https://open.spotify.com/album/4ruy6zMB9t2sKrNyK2B8zF?si=XFRX5spMTK62u5I5NsC7pA
2022,RYVOLI,Not in a Bad Way,not-in-a-bad-way.jpg,"E, PE",https://open.spotify.com/album/2gg7FUo63dI1eUaZy5aAdK?si=t6j6BsSdTkm_ZEwmWx44OA
2021,fuvk,imaginary deadlines,imaginary-deadlines.jpg,"C, PE",https://fuvk.bandcamp.com/album/imaginary-deadlines-2
2021,Buck the Taxidermist,Things You Do,things-you-do.jpg,"M, PE",https://open.spotify.com/album/2T98ulJHx1ORPvuTvlCCFi?highlight=spotify:track:62uM0VM347xnUwx8vhzLNc
2021,MARGO,Winter,winter.jpg,"M, PE",https://open.spotify.com/album/5WcpswdkSO5dKzBlhKgeQC?si=6E0bG2N8SASRryJHC4YoJQ
2021,Matthew Pinder,Seated in the Sun,seated-in-the-sun.jpg,"P, E, M, PE",https://open.spotify.com/album/7DsHp9AOa2EgpistJw9UGE?si=lakERREMRuK34FwGtL4_UQ
2019,Penny & Sparrow,Finch,finch.jpg,"E, PE",https://open.spotify.com/album/0ixOUcKraH7Y3tIV1MGoRo?si=RZkN-4arT3O15TH5rejIwg
2019,Matthew Pinder,Give Me Some Time,give-me-some-time.jpg,"E, PE",https://open.spotify.com/album/3WDoeMOzd5rEogwr1J7P5E?si=XbkZ4OTARVe13GCc49ghQw
2019,fuvk,golden girl,golden-girl.jpg,"M, PE",https://open.spotify.com/album/0dqhOxwJD15bsjIUoJNEQG?si=2m2CbEjPR8aDPWFke3DrxA
2019,MARGO,Asunder,asunder.jpg,"E, PE",https://open.spotify.com/album/2g9PZPxZdAkY8xjYoCmUFM?si=eKiWa-9aSGi2fk9_7HvjOQ
2018,First Generation,Soundtrack (Short Film),first-generation.jpg,"M, C, PE",https://vimeo.com/292354730?fbclid=IwAR32NzNdRV70GAa8np42ZACONbpDiGAwD2qfP1Vuh1hPilM1XwY7tmhmejQ
2018,secret crane,strawberry milk,strawberry-milk.jpg,"M, PE",https://secretcrane.bandcamp.com/
2018,RYVOLI,Theories,theories.jpg,"E, PE",https://open.spotify.com/album/1F2nJGmG2UnwPPazJtRDmP?si=s7yY3N6lT6ms_KbYyrco0Q
2017,Penny & Sparrow,Wendigo,wendigo.jpg,PE,https://open.spotify.com/album/1F3g88B97YjpzE2Pc6Rw1q?si=kAguZvRXTzCStdPPkHXAGQ
2017,Volunteer Astronauts,Voyager,voyager.jpg,"P, E, M",https://open.spotify.com/track/4uqYWGa9atkBfqQQxGNyMZ?si=22970a5a9286485b
2015,Duncan Fellows,Marrow,marrow.jpg,E,https://open.spotify.com/album/4L3PKuTvB6asIMFMjuqaWZ?si=MLPtJ-jyR5qi7qcYHheqjA
